Order_No,Time from Pickup to Arrival
Order_No_19248,1512.9
Order_No_2699,2647.0
Order_No_21486,1927.9
Order_No_19336,2426.8
Order_No_20374,2516.1
Order_No_9830,1220.7
Order_No_17505,1215.0
Order_No_23802,2493.9
Order_No_12736,1369.0
Order_No_6400,2138.1
Order_No_25920,854.8
Order_No_24873,1738.8
Order_No_4511,1454.5
Order_No_13686,2526.9
Order_No_19317,1801.4
Order_No_2680,1690.2
Order_No_7097,1215.6
Order_No_22701,1358.5
Order_No_4881,1620.4
Order_No_6340,1394.0
Order_No_27915,1034.4
Order_No_768,1232.6
Order_No_28256,1919.4
Order_No_16940,2212.5
Order_No_4860,1364.1
Order_No_19055,845.7
Order_No_21272,1378.5
Order_No_2131,1109.4
Order_No_26647,746.4
Order_No_15717,1866.0
Order_No_7499,1317.4
Order_No_19277,1583.8
Order_No_21254,3272.3
Order_No_15403,1115.3
Order_No_3402,2527.9
Order_No_20766,560.1
Order_No_14859,1022.2
Order_No_7290,855.2
Order_No_15168,1626.4
Order_No_13427,1454.1
Order_No_20894,1910.4
Order_No_10827,1627.1
Order_No_9447,1543.6
Order_No_15217,2895.9
Order_No_2361,1676.4
Order_No_12210,1518.3
Order_No_15207,2398.7
Order_No_27745,2455.5
Order_No_18450,1331.2
Order_No_21282,1221.7
Order_No_2842,1031.9
Order_No_22280,1694.3
Order_No_15535,1718.5
Order_No_382,941.5
Order_No_21070,1639.5
Order_No_2603,2713.1
Order_No_16558,894.1
Order_No_24712,1188.2
Order_No_26578,2276.6
Order_No_21638,1001.1
Order_No_22046,1010.7
Order_No_23183,1729.0
Order_No_1786,2453.9
Order_No_17033,1379.0
Order_No_6084,1230.9
Order_No_5317,1480.2
Order_No_15332,1146.8
Order_No_1199,1604.1
Order_No_21864,2295.6
Order_No_611,2339.4
Order_No_18430,2237.9
Order_No_8474,2014.6
Order_No_6339,1216.4
Order_No_14947,805.2
Order_No_16077,2163.0
Order_No_21778,651.8
Order_No_19143,1544.9
Order_No_25000,2698.5
Order_No_340,1524.7
Order_No_8955,1534.8
Order_No_6197,1672.0
Order_No_1974,2762.7
Order_No_22457,2143.8
Order_No_24241,2407.6
Order_No_23433,2741.9
Order_No_21373,1180.1
Order_No_15311,1115.6
Order_No_12748,1579.6
Order_No_11668,2011.6
Order_No_9978,1743.1
Order_No_17127,759.3
Order_No_14906,2872.8
Order_No_19354,1095.5
Order_No_15209,555.6
Order_No_12025,1122.3
Order_No_26437,1340.2
Order_No_4137,1205.3
Order_No_12169,1393.4
Order_No_104,1456.2
Order_No_2403,645.3
Order_No_8736,1288.9
Order_No_15145,1247.1
Order_No_25380,1490.2
Order_No_7545,2404.0
Order_No_14573,2116.6
Order_No_24305,1326.6
Order_No_23769,1426.2
Order_No_23205,2449.4
Order_No_20815,1218.8
Order_No_8308,1153.6
Order_No_20121,1393.7
Order_No_20598,1929.8
Order_No_2574,1777.4
Order_No_1601,1497.7
Order_No_19084,1199.2
Order_No_23351,895.4
Order_No_17426,1789.9
Order_No_3798,1383.4
Order_No_20354,2553.9
Order_No_24096,1891.1
Order_No_21215,1463.8
Order_No_16573,1210.8
Order_No_6731,2202.9
Order_No_3166,2344.9
Order_No_18679,1771.8
Order_No_23900,2601.3
Order_No_18436,1529.4
Order_No_1450,577.7
Order_No_9797,1924.9
Order_No_21124,1668.6
Order_No_27808,1330.5
Order_No_15877,1059.3
Order_No_14360,1117.2
Order_No_6247,726.0
Order_No_1823,1850.5
Order_No_8264,1861.2
Order_No_4106,1859.2
Order_No_2288,1698.8
Order_No_26162,1004.7
Order_No_16072,1235.3
Order_No_24205,670.2
Order_No_3870,751.4
Order_No_7297,1710.0
Order_No_26757,1586.3
Order_No_27741,771.7
Order_No_15767,1293.3
Order_No_11781,1733.1
Order_No_8813,1048.3
Order_No_19702,1802.0
Order_No_6457,1559.2
Order_No_6180,1729.7
Order_No_9305,1549.9
